DateTime, Transaction, LineID.From, LineID.To, Duration, Charge, HandsetID.From, HandsetModel.From
2005-01-01 01:04:55,call,67,40,1996,6187.6,67,blackberry curve
2005-01-01 01:13:52,call,96,20,84,260.4,96,nokia-1100
2005-01-01 01:28:36,balance inquiry,35,,,0,35,nokia-1200
2005-01-01 01:29:12,call,66,2,246,762.6,66,nokia-1100
2005-01-01 01:38:28,call,58,35,192,595.2,58,motorola-c113
2005-01-01 01:44:06,call,77,4,486,1506.6,77,motorola-c113
2005-01-01 02:09:09,call,34,24,782,2424.2,34,nokia-1100
2005-01-01 02:16:10,call,38,12,424,1314.4,38,nokia-1100
2005-01-01 02:27:58,call,33,32,4,12.4,33,blackberry curve
2005-01-01 02:28:58,call,88,63,791,2452.1,88,nokia-1200
2005-01-01 02:35:16,balance inquiry,90,,,0,90,nokia-1100
2005-01-01 02:36:22,call,51,82,58,179.8,51,motorola-c113
2005-01-01 02:48:05,call,11,7,15,46.5,11,motorola-c113
2005-01-01 03:04:01,sms,35,33,,50,35,nokia-1200
2005-01-01 03:16:27,call,34,77,44,136.4,34,nokia-1100
2005-01-01 03:23:07,call,76,48,430,1333.0,76,blackberry curve
2005-01-01 03:33:01,call,69,24,22,68.2,69,motorola-c113
2005-01-01 03:46:45,balance inquiry,6,,,0,6,nokia-1200
2005-01-01 03:48:01,call,96,31,157,486.7,96,nokia-1100
2005-01-01 04:01:05,call,36,1,195,604.5,36,nokia-1100
2005-01-01 04:16:32,topup,77,,,-1000,77,motorola-c113
2005-01-01 04:22:24,call,32,36,25,77.5,32,blackberry curve
2005-01-01 04:31:20,topup,10,,,-1000,10,blackberry curve
2005-01-01 04:43:21,sms,11,63,,50,11,motorola-c113
2005-01-01 04:52:56,topup,35,,,-1000,35,nokia-1200
2005-01-01 05:00:03,call,63,11,361,1119.1,63,nokia-1100
2005-01-01 05:14:05,call,0,16,948,2938.8,0,blackberry curve
2005-01-01 05:15:13,balance inquiry,23,,,0,23,motorola-c113
2005-01-01 05:27:13,call,23,6,37,114.7,23,motorola-c113
2005-01-01 05:40:32,call,77,15,330,1023.0,77,motorola-c113
2005-01-01 05:45:56,call,39,24,213,660.3,39,blackberry curve
2005-01-01 05:50:24,call,45,32,60,186.0,45,nokia-1100
2005-01-01 05:50:53,topup,17,,,-500,17,nokia-1200
2005-01-01 06:04:45,call,31,90,869,2693.9,31,motorola-c113
2005-01-01 06:04:45,call,31,6,1160,3596.0,31,motorola-c113
2005-01-01 06:15:48,call,41,57,64,198.4,41,nokia-1200
2005-01-01 06:18:37,topup,43,,,-2000,43,nokia-1200
2005-01-01 06:27:31,call,23,11,482,1494.2,23,motorola-c113
2005-01-01 06:42:03,call,93,72,1016,3149.6,93,nokia-1200
2005-01-01 06:57:20,call,99,38,107,331.7,99,nokia-1100
2005-01-01 07:36:22,call,7,6,89,275.9,7,motorola-c113
2005-01-01 07:37:24,topup,72,,,-1000,72,nokia-1100
2005-01-01 07:39:04,call,27,5,540,1674.0,27,nokia-1100
2005-01-01 07:48:34,topup,29,,,-2000,29,motorola-c113
2005-01-01 08:02:20,topup,78,,,-500,78,nokia-1200
2005-01-01 08:13:09,call,59,35,577,1788.7,59,nokia-1200
2005-01-01 08:15:57,call,79,22,132,409.2,79,nokia-1100
2005-01-01 08:27:07,sms,62,97,,50,62,motorola-c113
2005-01-01 08:30:08,topup,93,,,-10000,93,nokia-1200
2005-01-01 08:44:24,call,4,0,351,1088.1,4,nokia-1100
2005-01-01 08:59:25,call,20,10,146,452.6,20,motorola-c113
2005-01-01 09:14:03,topup,63,,,-500,63,nokia-1100
2005-01-01 09:20:54,sms,20,8,,50,20,motorola-c113
2005-01-01 09:28:54,call,93,1,305,945.5,93,nokia-1200
2005-01-01 09:32:27,call,62,97,122,378.2,62,motorola-c113
2005-01-01 09:47:06,call,48,13,472,1463.2,48,nokia-1200
2005-01-01 10:05:26,call,41,10,423,1311.3,41,nokia-1200
2005-01-01 10:15:23,topup,38,,,-10000,38,nokia-1100
2005-01-01 10:25:18,call,40,3,576,1785.6,40,nokia-1100
2005-01-01 10:31:41,call,6,5,103,319.3,6,nokia-1200
2005-01-01 10:46:20,call,20,6,113,350.3,20,motorola-c113
2005-01-01 10:54:01,balance inquiry,3,,,0,3,nokia-1100
2005-01-01 11:08:40,call,15,68,337,1044.7,15,motorola-c113
2005-01-01 11:15:10,call,10,8,140,434.0,10,blackberry curve
2005-01-01 11:18:31,call,7,0,403,1249.3,7,motorola-c113
2005-01-01 11:29:09,call,4,1,4,12.4,4,nokia-1100
